Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-28,145.144,145.815,142.545,142.89,633700,0.0,0.0
2021-09-29,142.945,143.952,141.687,143.355,436200,0.0,0.0
2021-09-30,144.203,144.548,140.243,140.364,495600,0.0,0.0
2021-10-01,141.184,143.747,140.523,142.862,483600,0.0,0.0
2021-10-04,143.654,145.116,141.65,142.824,513800,0.0,0.0
2021-10-05,143.877,149.44,143.449,148.89,919400,0.0,0.0
2021-10-06,146.673,148.275,144.259,148.005,755900,0.0,0.0
2021-10-07,149.775,150.577,148.313,149.151,519500,0.0,0.0
2021-10-08,149.673,149.971,147.94,148.219,458900,0.0,0.0
2021-10-11,149.524,150.763,148.816,148.918,507500,0.0,0.0
2021-10-12,148.611,149.179,147.875,148.378,552500,0.0,0.0
2021-10-13,148.881,149.244,146.16,147.847,520800,0.0,0.0
2021-10-14,149.263,151.965,149.086,151.639,601200,0.0,0.0
2021-10-15,153.223,155.17,152.543,153.512,692200,0.0,0.0
2021-10-18,152.813,153.372,151.9,152.794,557000,0.0,0.0
2021-10-19,153.838,154.248,152.534,153.381,584700,0.0,0.0
2021-10-20,154.22,157.323,153.754,155.198,611100,0.0,0.0
2021-10-21,154.984,155.245,152.748,154.462,540300,0.0,0.0
2021-10-22,158.413,160.743,156.028,156.987,906300,0.0,0.0
2021-10-25,158.348,160.249,156.307,159.718,631400,0.0,0.0
2021-10-26,160.361,162.066,159.634,159.811,645700,0.0,0.0
2021-10-27,158.786,158.888,152.31,152.422,691000,0.0,0.0
2021-10-28,152.878,155.226,152.878,154.183,542600,0.0,0.0
2021-10-29,153.977,154.688,150.216,151.114,843500,0.68,0.0
2021-11-01,151.395,153.041,150.749,151.114,846200,0.0,0.0
2021-11-02,152.05,155.942,151.376,155.437,804300,0.0,0.0
2021-11-03,154.697,157.149,154.697,155.876,627800,0.0,0.0
2021-11-04,156.138,156.962,154.959,156.082,695400,0.0,0.0
2021-11-05,157.139,159.918,156.232,158.496,680400,0.0,0.0
2021-11-08,159.703,161.34,158.852,159.048,677500,0.0,0.0
2021-11-09,158.739,162.706,158.721,161.78,810400,0.0,0.0
2021-11-10,161.78,162.847,157.579,158.084,739500,0.0,0.0
2021-11-11,158.543,160.517,157.757,159.572,844900,0.0,0.0
2021-11-12,160.966,161.097,159.114,159.179,895500,0.0,0.0
2021-11-15,159.404,160.227,155.362,156.644,1053200,0.0,0.0
2021-11-16,156.55,158.356,156.129,157.776,612800,0.0,0.0
2021-11-17,157.336,157.832,155.867,156.157,457400,0.0,0.0
2021-11-18,156.915,157.832,155.717,156.681,453700,0.0,0.0
2021-11-19,156.138,156.41,153.518,155.072,428400,0.0,0.0
2021-11-22,152.658,157.551,152.489,155.315,697300,0.0,0.0
2021-11-23,156.017,158.234,154.679,156.709,579600,0.0,0.0
2021-11-24,155.212,157.158,154.557,155.277,546600,0.0,0.0
2021-11-26,150.637,152.171,148.812,150.534,390800,0.0,0.0
2021-11-29,151.554,151.872,149.168,149.505,1011800,0.0,0.0
2021-11-30,147.811,148.691,140.962,141.617,1334200,0.0,0.0
2021-12-01,144.714,145.968,139.259,139.353,870500,0.0,0.0
2021-12-02,140.101,144.939,138.969,143.938,830100,0.0,0.0
2021-12-03,144.349,147.222,142.384,143.545,681400,0.0,0.0
2021-12-06,145.977,149.589,145.088,147.98,714700,0.0,0.0
2021-12-07,149.505,151.254,149.158,149.561,1185400,0.0,0.0
2021-12-08,150.45,150.805,148.111,149.533,681000,0.0,0.0
2021-12-09,148.372,149.57,147.53,148.41,451700,0.0,0.0
2021-12-10,150.216,150.964,148.747,150.562,604500,0.0,0.0
2021-12-13,150.122,150.59,147.858,147.895,621700,0.0,0.0
2021-12-14,147.399,151.217,146.698,149.317,793700,0.0,0.0
2021-12-15,148.831,149.991,146.454,149.729,739500,0.0,0.0
2021-12-16,151.844,153.743,151.039,152.583,656300,0.0,0.0
2021-12-17,151.741,151.965,148.719,148.981,1510100,0.0,0.0
2021-12-20,147.184,147.212,142.609,145.865,695900,0.0,0.0
2021-12-21,147.334,149.935,147.334,148.335,921500,0.0,0.0
2021-12-22,148.578,149.626,147.39,149.205,504600,0.0,0.0
2021-12-23,149.795,151.984,149.71,150.936,307700,0.0,0.0
2021-12-27,151.797,153.359,150.974,153.285,255800,0.0,0.0
2021-12-28,153.041,155.287,153.041,154.828,284800,0.0,0.0
2021-12-29,154.847,156.943,154.847,156.325,306700,0.0,0.0
2021-12-30,156.447,157.504,155.38,155.437,388800,0.0,0.0
2021-12-31,154.763,158.141,154.604,157.242,460600,0.0,0.0
2022-01-03,158.028,158.711,155.895,156.709,693900,0.0,0.0
2022-01-04,158.262,161.593,157.869,161.097,568100,0.0,0.0
2022-01-05,162.37,165.139,160.854,162.632,885900,0.0,0.0
2022-01-06,164.138,164.419,160.498,160.657,565600,0.0,0.0
2022-01-07,161.846,162.005,160.021,160.994,713500,0.0,0.0
2022-01-10,160.704,162.117,157.355,159.329,585200,0.0,0.0
2022-01-11,160.236,160.461,157.542,160.143,393500,0.0,0.0
2022-01-12,161.396,162.706,160.33,161.621,380700,0.0,0.0
2022-01-13,161.63,164.016,161.612,162.201,715100,0.0,0.0
2022-01-14,160.676,162.753,159.001,162.36,543800,0.0,0.0
2022-01-18,161.312,161.63,158.468,159.544,673400,0.0,0.0
2022-01-19,160.573,160.573,157.158,157.28,474800,0.0,0.0
2022-01-20,157.429,158.187,154.052,154.37,513400,0.0,0.0
2022-01-21,153.958,154.772,149.926,150.309,543900,0.0,0.0
2022-01-24,147.914,151.161,145.8,150.45,871300,0.0,0.0
2022-01-25,148.868,151.076,144.724,149.551,627900,0.0,0.0
2022-01-26,150.534,153.097,147.905,149.364,687100,0.0,0.0
2022-01-27,151.404,154.828,148.953,149.767,912300,0.0,0.0
2022-01-28,150.758,150.758,139.578,143.32,1890200,0.0,0.0
2022-01-31,141.018,145.818,139.69,145.687,1301900,0.0,0.0
2022-02-01,145.21,147.951,142.899,147.484,933900,0.0,0.0
2022-02-02,147.063,149.767,145.556,148.625,769600,0.0,0.0
2022-02-03,147.596,151.03,147.577,149.579,691600,0.0,0.0
2022-02-04,148.307,150.225,145.107,146.436,883600,0.0,0.0
2022-02-07,147.081,147.081,144.134,145.117,652400,0.0,0.0
